timestamp,src_ip,dst_ip,protocol,size,risk,status
1773415742.683521,104.18.32.47,192.168.1.34,17,66,HIGH,DOS ATTACK
1773415742.708448,104.18.32.47,192.168.1.34,17,66,HIGH,DOS ATTACK
1773415742.7287183,104.18.32.47,192.168.1.34,17,91,HIGH,DOS ATTACK
1773415742.74778,104.18.32.47,192.168.1.34,17,66,HIGH,DOS ATTACK
1773415742.7760704,104.18.32.47,192.168.1.34,17,73,MEDIUM,SUSPICIOUS
1773415743.0318358,104.18.32.47,192.168.1.34,17,687,MEDIUM,SUSPICIOUS
1773415745.590649,42.106.162.201,192.168.1.34,6,318,HIGH,DOS ATTACK
1773415745.6509752,42.106.162.201,192.168.1.34,6,54,MEDIUM,SUSPICIOUS
1773415745.6624393,42.106.162.201,192.168.1.34,6,365,MEDIUM,SUSPICIOUS
1773415745.676447,42.106.162.201,192.168.1.34,6,54,MEDIUM,SUSPICIOUS
1773415745.690607,42.106.162.201,192.168.1.34,6,115,MEDIUM,SUSPICIOUS
1773415745.7027204,42.106.162.201,192.168.1.34,6,85,MEDIUM,SUSPICIOUS
1773415745.7174494,42.106.162.201,192.168.1.34,6,54,MEDIUM,SUSPICIOUS
1773415745.7312226,42.106.162.201,192.168.1.34,6,54,MEDIUM,SUSPICIOUS
1773415746.3696191,42.106.162.201,192.168.1.34,6,1506,MEDIUM,SUSPICIOUS
1773415746.380454,42.106.162.201,192.168.1.34,6,1506,MEDIUM,SUSPICIOUS
1773415746.3951094,42.106.162.201,192.168.1.34,6,1506,MEDIUM,SUSPICIOUS
1773415746.409215,42.106.162.201,192.168.1.34,6,1506,MEDIUM,SUSPICIOUS
1773415746.4237413,42.106.162.201,192.168.1.34,6,1506,MEDIUM,SUSPICIOUS
1773415746.43647,42.106.162.201,192.168.1.34,6,1506,MEDIUM,SUSPICIOUS
1773415746.4517555,42.106.162.201,192.168.1.34,6,1506,MEDIUM,SUSPICIOUS
1773415746.4636445,42.106.162.201,192.168.1.34,6,519,MEDIUM,SUSPICIOUS
1773415746.4789321,42.106.162.201,192.168.1.34,6,1506,MEDIUM,SUSPICIOUS
1773415746.4891355,42.106.162.201,192.168.1.34,6,1506,MEDIUM,SUSPICIOUS
1773415746.503417,42.106.162.201,192.168.1.34,6,1506,MEDIUM,SUSPICIOUS
1773415746.5178642,42.106.162.201,192.168.1.34,6,1506,MEDIUM,SUSPICIOUS
1773415746.53122,42.106.162.201,192.168.1.34,6,1506,MEDIUM,SUSPICIOUS
1773415746.5450094,42.106.162.201,192.168.1.34,6,1506,MEDIUM,SUSPICIOUS
1773415746.5581584,42.106.162.201,192.168.1.34,6,1506,MEDIUM,SUSPICIOUS
1773415746.572677,42.106.162.201,192.168.1.34,6,1506,MEDIUM,SUSPICIOUS
1773415746.5911431,42.106.162.201,192.168.1.34,6,1506,MEDIUM,SUSPICIOUS
1773415746.606238,42.106.162.201,192.168.1.34,6,1506,MEDIUM,SUSPICIOUS
1773415746.620287,42.106.162.201,192.168.1.34,6,1506,MEDIUM,SUSPICIOUS
1773415746.6345959,42.106.162.201,192.168.1.34,6,1506,MEDIUM,SUSPICIOUS
1773415746.6503274,42.106.162.201,192.168.1.34,6,1506,MEDIUM,SUSPICIOUS
1773415746.6652465,42.106.162.201,192.168.1.34,6,1506,MEDIUM,SUSPICIOUS
1773415746.6807466,42.106.162.201,192.168.1.34,6,1506,MEDIUM,SUSPICIOUS
1773415746.6962245,42.106.162.201,192.168.1.34,6,1506,MEDIUM,SUSPICIOUS
1773415746.7102048,42.106.162.201,192.168.1.34,6,1506,MEDIUM,SUSPICIOUS
1773415746.7245061,42.106.162.201,192.168.1.34,6,1506,MEDIUM,SUSPICIOUS
1773415746.74204,42.106.162.201,192.168.1.34,6,1506,MEDIUM,SUSPICIOUS
1773415746.7581034,42.106.162.201,192.168.1.34,6,1506,MEDIUM,SUSPICIOUS
1773415746.7728727,42.106.162.201,192.168.1.34,6,1506,MEDIUM,SUSPICIOUS
1773415746.7919452,42.106.162.201,192.168.1.34,6,1506,MEDIUM,SUSPICIOUS
1773415746.8089528,42.106.162.201,192.168.1.34,6,1506,MEDIUM,SUSPICIOUS
1773415746.8255,42.106.162.201,192.168.1.34,6,1506,MEDIUM,SUSPICIOUS
1773415746.8490026,42.106.162.201,192.168.1.34,6,1506,MEDIUM,SUSPICIOUS
1773415746.866567,42.106.162.201,192.168.1.34,6,1506,MEDIUM,SUSPICIOUS
1773415746.8846605,42.106.162.201,192.168.1.34,6,1506,MEDIUM,SUSPICIOUS
1773415746.9031305,42.106.162.201,192.168.1.34,6,107,MEDIUM,SUSPICIOUS
1773415746.9232478,42.106.162.201,192.168.1.34,6,180,MEDIUM,SUSPICIOUS
1773415746.93888,42.106.162.201,192.168.1.34,6,1506,MEDIUM,SUSPICIOUS
1773415746.9542594,42.106.162.201,192.168.1.34,6,1506,MEDIUM,SUSPICIOUS
1773415746.9700303,42.106.162.201,192.168.1.34,6,1506,MEDIUM,SUSPICIOUS
1773415746.987048,42.106.162.201,192.168.1.34,6,1506,MEDIUM,SUSPICIOUS
1773415747.002608,42.106.162.201,192.168.1.34,6,1506,MEDIUM,SUSPICIOUS
1773415747.0205648,42.106.162.201,192.168.1.34,6,1506,MEDIUM,SUSPICIOUS
1773415747.0354342,42.106.162.201,192.168.1.34,6,1506,MEDIUM,SUSPICIOUS
